forecast_date,target,target_end_date,location,type,quantile,value
3/13/2022,1 wk ahead inc case,3/19/2022,US,quantile,0.025,40484
3/13/2022,2 wk ahead inc case,3/26/2022,US,quantile,0.025,0
3/13/2022,3 wk ahead inc case,4/2/2022,US,quantile,0.025,0
3/13/2022,4 wk ahead inc case,4/9/2022,US,quantile,0.025,0
3/13/2022,5 wk ahead inc case,4/16/2022,US,quantile,0.025,0
3/13/2022,6 wk ahead inc case,4/23/2022,US,quantile,0.025,0
3/13/2022,7 wk ahead inc case,4/30/2022,US,quantile,0.025,0
3/13/2022,8 wk ahead inc case,5/7/2022,US,quantile,0.025,0
3/13/2022,1 wk ahead inc case,3/19/2022,US,quantile,0.1,91586
3/13/2022,2 wk ahead inc case,3/26/2022,US,quantile,0.1,31543
3/13/2022,3 wk ahead inc case,4/2/2022,US,quantile,0.1,3526
3/13/2022,4 wk ahead inc case,4/9/2022,US,quantile,0.1,0
3/13/2022,5 wk ahead inc case,4/16/2022,US,quantile,0.1,0
3/13/2022,6 wk ahead inc case,4/23/2022,US,quantile,0.1,0
3/13/2022,7 wk ahead inc case,4/30/2022,US,quantile,0.1,0
3/13/2022,8 wk ahead inc case,5/7/2022,US,quantile,0.1,0
3/13/2022,1 wk ahead inc case,3/19/2022,US,quantile,0.25,151580
3/13/2022,2 wk ahead inc case,3/26/2022,US,quantile,0.25,103672
3/13/2022,3 wk ahead inc case,4/2/2022,US,quantile,0.25,67920
3/13/2022,4 wk ahead inc case,4/9/2022,US,quantile,0.25,26054
3/13/2022,5 wk ahead inc case,4/16/2022,US,quantile,0.25,0
3/13/2022,6 wk ahead inc case,4/23/2022,US,quantile,0.25,0
3/13/2022,7 wk ahead inc case,4/30/2022,US,quantile,0.25,0
3/13/2022,8 wk ahead inc case,5/7/2022,US,quantile,0.25,0
3/13/2022,1 wk ahead inc case,3/19/2022,US,quantile,0.5,165232
3/13/2022,2 wk ahead inc case,3/26/2022,US,quantile,0.5,123295
3/13/2022,3 wk ahead inc case,4/2/2022,US,quantile,0.5,107066
3/13/2022,4 wk ahead inc case,4/9/2022,US,quantile,0.5,59352
3/13/2022,5 wk ahead inc case,4/16/2022,US,quantile,0.5,34018
3/13/2022,6 wk ahead inc case,4/23/2022,US,quantile,0.5,8896
3/13/2022,7 wk ahead inc case,4/30/2022,US,quantile,0.5,0
3/13/2022,8 wk ahead inc case,5/7/2022,US,quantile,0.5,0
3/13/2022,1 wk ahead inc case,3/19/2022,US,quantile,0.75,186723
3/13/2022,2 wk ahead inc case,3/26/2022,US,quantile,0.75,162577
3/13/2022,3 wk ahead inc case,4/2/2022,US,quantile,0.75,119880
3/13/2022,4 wk ahead inc case,4/9/2022,US,quantile,0.75,82490
3/13/2022,5 wk ahead inc case,4/16/2022,US,quantile,0.75,55276
3/13/2022,6 wk ahead inc case,4/23/2022,US,quantile,0.75,34839
3/13/2022,7 wk ahead inc case,4/30/2022,US,quantile,0.75,18949
3/13/2022,8 wk ahead inc case,5/7/2022,US,quantile,0.75,10445
3/13/2022,1 wk ahead inc case,3/19/2022,US,quantile,0.9,243663
3/13/2022,2 wk ahead inc case,3/26/2022,US,quantile,0.9,184845
3/13/2022,3 wk ahead inc case,4/2/2022,US,quantile,0.9,151436
3/13/2022,4 wk ahead inc case,4/9/2022,US,quantile,0.9,121188
3/13/2022,5 wk ahead inc case,4/16/2022,US,quantile,0.9,93704
3/13/2022,6 wk ahead inc case,4/23/2022,US,quantile,0.9,72472
3/13/2022,7 wk ahead inc case,4/30/2022,US,quantile,0.9,55205
3/13/2022,8 wk ahead inc case,5/7/2022,US,quantile,0.9,40152
3/13/2022,1 wk ahead inc case,3/19/2022,US,quantile,0.975,285742
3/13/2022,2 wk ahead inc case,3/26/2022,US,quantile,0.975,193203
3/13/2022,3 wk ahead inc case,4/2/2022,US,quantile,0.975,166967
3/13/2022,4 wk ahead inc case,4/9/2022,US,quantile,0.975,137235
3/13/2022,5 wk ahead inc case,4/16/2022,US,quantile,0.975,111331
3/13/2022,6 wk ahead inc case,4/23/2022,US,quantile,0.975,92414
3/13/2022,7 wk ahead inc case,4/30/2022,US,quantile,0.975,76567
3/13/2022,8 wk ahead inc case,5/7/2022,US,quantile,0.975,64632
3/13/2022,1 wk ahead inc case,3/19/2022,US,point,NA,166430
3/13/2022,2 wk ahead inc case,3/26/2022,US,point,NA,109260
3/13/2022,3 wk ahead inc case,4/2/2022,US,point,NA,79765
3/13/2022,4 wk ahead inc case,4/9/2022,US,point,NA,48118
3/13/2022,5 wk ahead inc case,4/16/2022,US,point,NA,20947
3/13/2022,6 wk ahead inc case,4/23/2022,US,point,NA,0
3/13/2022,7 wk ahead inc case,4/30/2022,US,point,NA,0
3/13/2022,8 wk ahead inc case,5/7/2022,US,point,NA,0
